WKT,Description,Videos
POINT(-79.287100 43.107950),Short Hills,Failed
POINT(-79.245815 43.182620),John Page Park,"020, 024, 025, 026, 027, 028, 029, 030, 031, 036"
POINT(-79.24567 43.1214),Brock University,Failed
