Observation id,Comment,Start time,Stop time,Duration (s)
043-2 - Esso PLot - 25 crows - Baited,,6.388,6.638,0.250
043-2 - Esso PLot - 25 crows - Baited,,21.154,21.653,0.499
043-2 - Esso PLot - 25 crows - Baited,,37.921,38.421,0.500
043-2 - Esso PLot - 25 crows - Baited,,39.671,40.17,0.499
043-2 - Esso PLot - 25 crows - Baited,,42.67,42.671,0.001
043-2 - Esso PLot - 25 crows - Baited,,43.172,46.773,3.601
043-2 - Esso PLot - 25 crows - Baited,,47.423,48.171,0.748
043-2 - Esso PLot - 25 crows - Baited,,48.172,51.67,3.498
043-2 - Esso PLot - 25 crows - Baited,,52.674,56.17,3.496
