Observation id,Comment,Start time,Stop time,Duration (s)
033 - NF Subways PLot - 2 crows - Baited,,110.743,111.99,1.247
033 - NF Subways PLot - 2 crows - Baited,,113.494,114.25,0.756
033 - NF Subways PLot - 2 crows - Baited,,116.242,117.492,1.250
033 - NF Subways PLot - 2 crows - Baited,,118.241,118.991,0.750
033 - NF Subways PLot - 2 crows - Baited,,1183.568,1184.819,1.251
033 - NF Subways PLot - 2 crows - Baited,,1186.818,1189.08,2.262
033 - NF Subways PLot - 2 crows - Baited,,1191.08,1192.574,1.494
033 - NF Subways PLot - 2 crows - Baited,,1193.324,1193.325,0.001
