Observation id,Comment,Start time,Stop time,Duration (s)
038-2 - Dairy Queen PLot - 7 crows - Baited,,59.171,60.429,1.258
038-2 - Dairy Queen PLot - 7 crows - Baited,,64.167,65.925,1.758
038-2 - Dairy Queen PLot - 7 crows - Baited,,72.927,74.168,1.241
038-2 - Dairy Queen PLot - 7 crows - Baited,,81.171,82.169,0.998
038-2 - Dairy Queen PLot - 7 crows - Baited,,85.218,86.719,1.501
038-2 - Dairy Queen PLot - 7 crows - Baited,,88.984,90.723,1.739
038-2 - Dairy Queen PLot - 7 crows - Baited,,90.986,91.984,0.998
038-2 - Dairy Queen PLot - 7 crows - Baited,,96.721,97.979,1.258
038-2 - Dairy Queen PLot - 7 crows - Baited,,98.729,99.228,0.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,101.73,103.228,1.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,103.481,104.229,0.748
038-2 - Dairy Queen PLot - 7 crows - Baited,,112.739,113.989,1.250
038-2 - Dairy Queen PLot - 7 crows - Baited,,117.496,118.745,1.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,119.034,119.751,0.717
038-2 - Dairy Queen PLot - 7 crows - Baited,,120.547,121.252,0.705
038-2 - Dairy Queen PLot - 7 crows - Baited,,122.754,123.503,0.749
038-2 - Dairy Queen PLot - 7 crows - Baited,,133.753,135.003,1.250
038-2 - Dairy Queen PLot - 7 crows - Baited,,135.004,136.753,1.749
038-2 - Dairy Queen PLot - 7 crows - Baited,,137.753,138.753,1.000
038-2 - Dairy Queen PLot - 7 crows - Baited,,139.021,140.253,1.232
038-2 - Dairy Queen PLot - 7 crows - Baited,,140.517,143.516,2.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,144.518,146.014,1.496
038-2 - Dairy Queen PLot - 7 crows - Baited,,146.755,147.517,0.762
038-2 - Dairy Queen PLot - 7 crows - Baited,,147.756,149.782,2.026
038-2 - Dairy Queen PLot - 7 crows - Baited,,150.047,152.046,1.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,152.285,153.784,1.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,155.288,157.29,2.002
038-2 - Dairy Queen PLot - 7 crows - Baited,,157.794,158.291,0.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,159.792,165.289,5.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,167.793,169.792,1.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,179.555,180.553,0.998
038-2 - Dairy Queen PLot - 7 crows - Baited,,188.295,189.294,0.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,191.799,194.792,2.993
038-2 - Dairy Queen PLot - 7 crows - Baited,,195.052,196.579,1.527
038-2 - Dairy Queen PLot - 7 crows - Baited,,201.596,209.836,8.240
038-2 - Dairy Queen PLot - 7 crows - Baited,,216.832,219.094,2.262
038-2 - Dairy Queen PLot - 7 crows - Baited,,219.837,221.093,1.256
038-2 - Dairy Queen PLot - 7 crows - Baited,,221.597,223.594,1.997
038-2 - Dairy Queen PLot - 7 crows - Baited,,235.338,238.339,3.001
038-2 - Dairy Queen PLot - 7 crows - Baited,,242.593,243.137,0.544
