Observation id,Comment,Start time,Stop time,Duration (s)
029 - FVM - 2 crows - Baited,,356.736,360.734,3.998
029 - FVM - 2 crows - Baited,,361.491,362.989,1.498
029 - FVM - 2 crows - Baited,,364.256,365.752,1.496
029 - FVM - 2 crows - Baited,,368.252,375.988,7.736
029 - FVM - 2 crows - Baited,,379.496,384.252,4.756
029 - FVM - 2 crows - Baited,,389.495,392.252,2.757
029 - FVM - 2 crows - Baited,,399.248,401.745,2.497
029 - FVM - 2 crows - Baited,,407.992,410.489,2.497
029 - FVM - 2 crows - Baited,,411.489,418.543,7.054
029 - FVM - 2 crows - Baited,,422.321,423.327,1.006
029 - FVM - 2 crows - Baited,,425.058,426.82,1.762
029 - FVM - 2 crows - Baited,,432.817,433.82,1.003
029 - FVM - 2 crows - Baited,,434.559,435.32,0.761
029 - FVM - 2 crows - Baited,,438.556,440.554,1.998
029 - FVM - 2 crows - Baited,,441.82,443.074,1.254
029 - FVM - 2 crows - Baited,,447.587,449.079,1.492
029 - FVM - 2 crows - Baited,,450.844,453.086,2.242
029 - FVM - 2 crows - Baited,,454.85,455.858,1.008
029 - FVM - 2 crows - Baited,,456.856,457.854,0.998
029 - FVM - 2 crows - Baited,,461.857,463.092,1.235
029 - FVM - 2 crows - Baited,,464.352,465.351,0.999
029 - FVM - 2 crows - Baited,,467.091,469.851,2.760
029 - FVM - 2 crows - Baited,,470.59,471.354,0.764
029 - FVM - 2 crows - Baited,,473.606,475.872,2.266
029 - FVM - 2 crows - Baited,,479.113,480.612,1.499
029 - FVM - 2 crows - Baited,,485.883,488.618,2.735
029 - FVM - 2 crows - Baited,,493.118,495.118,2.000
029 - FVM - 2 crows - Baited,,500.886,503.896,3.010
029 - FVM - 2 crows - Baited,,508.634,510.135,1.501
029 - FVM - 2 crows - Baited,,517.153,518.42,1.267
