Observation id,Comment,Start time,Stop time,Duration (s)
038-2 - Dairy Queen PLot - 7 crows - Baited,,127.01,136.257,9.247
038-2 - Dairy Queen PLot - 7 crows - Baited,,138.009,139.007,0.998
038-2 - Dairy Queen PLot - 7 crows - Baited,,142.509,144.258,1.749
038-2 - Dairy Queen PLot - 7 crows - Baited,,148.759,149.507,0.748
038-2 - Dairy Queen PLot - 7 crows - Baited,,153.508,153.757,0.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,155.008,156.509,1.501
038-2 - Dairy Queen PLot - 7 crows - Baited,,157.509,159.009,1.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,160.26,163.508,3.248
038-2 - Dairy Queen PLot - 7 crows - Baited,,166.008,166.257,0.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,167.009,171.009,4.000
038-2 - Dairy Queen PLot - 7 crows - Baited,,172.508,173.509,1.001
038-2 - Dairy Queen PLot - 7 crows - Baited,,177.76,180.008,2.248
038-2 - Dairy Queen PLot - 7 crows - Baited,,183.01,187.757,4.747
038-2 - Dairy Queen PLot - 7 crows - Baited,,190.258,192.009,1.751
038-2 - Dairy Queen PLot - 7 crows - Baited,,195.26,195.508,0.248
038-2 - Dairy Queen PLot - 7 crows - Baited,,197.582,200.581,2.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,203.582,203.83,0.248
038-2 - Dairy Queen PLot - 7 crows - Baited,,204.581,205.33,0.749
038-2 - Dairy Queen PLot - 7 crows - Baited,,206.333,206.582,0.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,207.832,208.831,0.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,209.082,215.331,6.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,216.582,218.335,1.753
038-2 - Dairy Queen PLot - 7 crows - Baited,,224.853,228.836,3.983
038-2 - Dairy Queen PLot - 7 crows - Baited,,229.339,230.836,1.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,232.834,235.592,2.758
038-2 - Dairy Queen PLot - 7 crows - Baited,,238.336,243.137,4.801
038-2 - Dairy Queen PLot - 7 crows - Baited,,265.391,265.593,0.202
038-2 - Dairy Queen PLot - 7 crows - Baited,,267.094,267.333,0.239
038-2 - Dairy Queen PLot - 7 crows - Baited,,268.597,268.835,0.238
038-2 - Dairy Queen PLot - 7 crows - Baited,,269.596,270.335,0.739
038-2 - Dairy Queen PLot - 7 crows - Baited,,272.336,272.836,0.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,273.841,274.333,0.492
038-2 - Dairy Queen PLot - 7 crows - Baited,,275.093,275.593,0.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,277.337,279.837,2.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,283.837,285.334,1.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,286.838,287.344,0.506
038-2 - Dairy Queen PLot - 7 crows - Baited,,288.836,289.335,0.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,291.595,292.091,0.496
038-2 - Dairy Queen PLot - 7 crows - Baited,,295.591,295.838,0.247
038-2 - Dairy Queen PLot - 7 crows - Baited,,298.338,299.092,0.754
038-2 - Dairy Queen PLot - 7 crows - Baited,,300.096,300.337,0.241
038-2 - Dairy Queen PLot - 7 crows - Baited,,301.34,301.613,0.273
038-2 - Dairy Queen PLot - 7 crows - Baited,,302.592,303.093,0.501
038-2 - Dairy Queen PLot - 7 crows - Baited,,303.835,304.332,0.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,305.095,305.334,0.239
038-2 - Dairy Queen PLot - 7 crows - Baited,,306.836,307.09,0.254
038-2 - Dairy Queen PLot - 7 crows - Baited,,307.857,308.094,0.237
038-2 - Dairy Queen PLot - 7 crows - Baited,,308.593,309.337,0.744
038-2 - Dairy Queen PLot - 7 crows - Baited,,318.84,319.333,0.493
038-2 - Dairy Queen PLot - 7 crows - Baited,,332.336,332.59,0.254
038-2 - Dairy Queen PLot - 7 crows - Baited,,334.092,334.336,0.244
038-2 - Dairy Queen PLot - 7 crows - Baited,,336.095,337.101,1.006
038-2 - Dairy Queen PLot - 7 crows - Baited,,339.336,339.593,0.257
038-2 - Dairy Queen PLot - 7 crows - Baited,,340.591,341.093,0.502
038-2 - Dairy Queen PLot - 7 crows - Baited,,346.088,346.596,0.508
038-2 - Dairy Queen PLot - 7 crows - Baited,,348.335,348.833,0.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,349.843,350.338,0.495
038-2 - Dairy Queen PLot - 7 crows - Baited,,352.091,352.833,0.742
038-2 - Dairy Queen PLot - 7 crows - Baited,,354.591,356.105,1.514
038-2 - Dairy Queen PLot - 7 crows - Baited,,360.242,361.754,1.512
038-2 - Dairy Queen PLot - 7 crows - Baited,,362.756,363.752,0.996
038-2 - Dairy Queen PLot - 7 crows - Baited,,367.257,367.493,0.236
038-2 - Dairy Queen PLot - 7 crows - Baited,,368.996,369.993,0.997
038-2 - Dairy Queen PLot - 7 crows - Baited,,378.764,379.251,0.487
038-2 - Dairy Queen PLot - 7 crows - Baited,,380.994,381.752,0.758
038-2 - Dairy Queen PLot - 7 crows - Baited,,382.993,383.492,0.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,384.774,385.25,0.476
038-2 - Dairy Queen PLot - 7 crows - Baited,,386.754,387.496,0.742
038-2 - Dairy Queen PLot - 7 crows - Baited,,391.752,391.997,0.245
038-2 - Dairy Queen PLot - 7 crows - Baited,,392.993,393.496,0.503
038-2 - Dairy Queen PLot - 7 crows - Baited,,399.752,400.25,0.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,402.75,403.285,0.535
038-2 - Dairy Queen PLot - 7 crows - Baited,,405.039,405.54,0.501
038-2 - Dairy Queen PLot - 7 crows - Baited,,407.039,408.539,1.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,414.04,414.3,0.260
038-2 - Dairy Queen PLot - 7 crows - Baited,,415.548,416.049,0.501
038-2 - Dairy Queen PLot - 7 crows - Baited,,421.048,422.051,1.003
038-2 - Dairy Queen PLot - 7 crows - Baited,,423.552,424.051,0.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,426.814,427.81,0.996
038-2 - Dairy Queen PLot - 7 crows - Baited,,431.313,432.053,0.740
038-2 - Dairy Queen PLot - 7 crows - Baited,,433.551,433.813,0.262
038-2 - Dairy Queen PLot - 7 crows - Baited,,436.053,437.813,1.760
038-2 - Dairy Queen PLot - 7 crows - Baited,,441.053,441.552,0.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,443.811,444.316,0.505
038-2 - Dairy Queen PLot - 7 crows - Baited,,446.557,447.31,0.753
038-2 - Dairy Queen PLot - 7 crows - Baited,,449.311,449.551,0.240
038-2 - Dairy Queen PLot - 7 crows - Baited,,452.812,453.053,0.241
038-2 - Dairy Queen PLot - 7 crows - Baited,,454.812,455.809,0.997
038-2 - Dairy Queen PLot - 7 crows - Baited,,457.053,458.314,1.261
038-2 - Dairy Queen PLot - 7 crows - Baited,,459.051,459.551,0.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,464.811,465.311,0.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,466.554,467.052,0.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,469.554,469.806,0.252
038-2 - Dairy Queen PLot - 7 crows - Baited,,470.815,471.104,0.289
038-2 - Dairy Queen PLot - 7 crows - Baited,,472.855,474.614,1.759
038-2 - Dairy Queen PLot - 7 crows - Baited,,482.611,483.365,0.754
038-2 - Dairy Queen PLot - 7 crows - Baited,,484.619,485.881,1.262
038-2 - Dairy Queen PLot - 7 crows - Baited,,489.379,491.619,2.240
038-2 - Dairy Queen PLot - 7 crows - Baited,,492.621,493.117,0.496
038-2 - Dairy Queen PLot - 7 crows - Baited,,494.383,494.619,0.236
038-2 - Dairy Queen PLot - 7 crows - Baited,,495.879,496.122,0.243
038-2 - Dairy Queen PLot - 7 crows - Baited,,496.877,497.62,0.743
038-2 - Dairy Queen PLot - 7 crows - Baited,,502.883,503.119,0.236
038-2 - Dairy Queen PLot - 7 crows - Baited,,506.897,507.137,0.240
038-2 - Dairy Queen PLot - 7 crows - Baited,,509.399,509.899,0.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,511.639,511.893,0.254
038-2 - Dairy Queen PLot - 7 crows - Baited,,513.899,514.397,0.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,522.399,523.401,1.002
038-2 - Dairy Queen PLot - 7 crows - Baited,,534.403,542.14,7.737
038-2 - Dairy Queen PLot - 7 crows - Baited,,545.642,546.395,0.753
038-2 - Dairy Queen PLot - 7 crows - Baited,,547.15,548.138,0.988
038-2 - Dairy Queen PLot - 7 crows - Baited,,551.901,554.144,2.243
038-2 - Dairy Queen PLot - 7 crows - Baited,,555.399,558.398,2.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,560.9,561.402,0.502
038-2 - Dairy Queen PLot - 7 crows - Baited,,562.639,562.901,0.262
038-2 - Dairy Queen PLot - 7 crows - Baited,,564.142,564.639,0.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,584.142,584.901,0.759
038-2 - Dairy Queen PLot - 7 crows - Baited,,586.139,590.899,4.760
038-2 - Dairy Queen PLot - 7 crows - Baited,,599.139,600.139,1.000
038-2 - Dairy Queen PLot - 7 crows - Baited,,609.143,611.142,1.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,615.14,619.637,4.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,620.399,622.396,1.997
038-2 - Dairy Queen PLot - 7 crows - Baited,,633.397,640.396,6.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,642.649,644.137,1.488
038-2 - Dairy Queen PLot - 7 crows - Baited,,648.9,654.394,5.494
038-2 - Dairy Queen PLot - 7 crows - Baited,,655.143,655.638,0.495
038-2 - Dairy Queen PLot - 7 crows - Baited,,658.899,663.139,4.240
038-2 - Dairy Queen PLot - 7 crows - Baited,,663.643,666.898,3.255
038-2 - Dairy Queen PLot - 7 crows - Baited,,677.058,681.066,4.008
038-2 - Dairy Queen PLot - 7 crows - Baited,,681.571,687.812,6.241
038-2 - Dairy Queen PLot - 7 crows - Baited,,695.829,696.585,0.756
038-2 - Dairy Queen PLot - 7 crows - Baited,,710.586,711.084,0.498
