Observation id,Comment,Start time,Stop time,Duration (s)
031 - FVM - 2 crows - Baited,,5.4,6.399,0.999
031 - FVM - 2 crows - Baited,,7.14,7.889,0.749
031 - FVM - 2 crows - Baited,,11.391,12.639,1.248
031 - FVM - 2 crows - Baited,,14.394,15.139,0.745
031 - FVM - 2 crows - Baited,,16.399,17.399,1.000
031 - FVM - 2 crows - Baited,,17.911,18.648,0.737
031 - FVM - 2 crows - Baited,,20.403,21.152,0.749
031 - FVM - 2 crows - Baited,,26.655,27.905,1.250
031 - FVM - 2 crows - Baited,,29.655,30.154,0.499
031 - FVM - 2 crows - Baited,,30.918,31.405,0.487
031 - FVM - 2 crows - Baited,,32.655,34.656,2.001
031 - FVM - 2 crows - Baited,,35.418,36.167,0.749
031 - FVM - 2 crows - Baited,,37.419,39.167,1.748
031 - FVM - 2 crows - Baited,,39.668,40.918,1.250
031 - FVM - 2 crows - Baited,,41.672,42.167,0.495
031 - FVM - 2 crows - Baited,,42.419,44.167,1.748
031 - FVM - 2 crows - Baited,,46.668,48.167,1.499
031 - FVM - 2 crows - Baited,,48.672,49.681,1.009
031 - FVM - 2 crows - Baited,,50.182,51.181,0.999
031 - FVM - 2 crows - Baited,,54.433,55.436,1.003
031 - FVM - 2 crows - Baited,,55.933,56.932,0.999
031 - FVM - 2 crows - Baited,,57.433,58.681,1.248
031 - FVM - 2 crows - Baited,,59.682,60.181,0.499
031 - FVM - 2 crows - Baited,,61.932,63.194,1.262
031 - FVM - 2 crows - Baited,,64.445,65.194,0.749
031 - FVM - 2 crows - Baited,,65.945,68.483,2.538
031 - FVM - 2 crows - Baited,,71.195,72.444,1.249
031 - FVM - 2 crows - Baited,,74.945,76.694,1.749
031 - FVM - 2 crows - Baited,,79.445,79.944,0.499
031 - FVM - 2 crows - Baited,,81.695,82.944,1.249
031 - FVM - 2 crows - Baited,,86.445,87.444,0.999
031 - FVM - 2 crows - Baited,,88.445,90.694,2.249
031 - FVM - 2 crows - Baited,,94.195,97.944,3.749
031 - FVM - 2 crows - Baited,,99.195,100.194,0.999
031 - FVM - 2 crows - Baited,,103.195,103.944,0.749
031 - FVM - 2 crows - Baited,,105.195,106.444,1.249
031 - FVM - 2 crows - Baited,,108.195,109.194,0.999
031 - FVM - 2 crows - Baited,,109.445,110.194,0.749
031 - FVM - 2 crows - Baited,,111.445,111.744,0.299
031 - FVM - 2 crows - Baited,,112.495,113.244,0.749
031 - FVM - 2 crows - Baited,,114.025,114.744,0.719
031 - FVM - 2 crows - Baited,,115.245,117.244,1.999
031 - FVM - 2 crows - Baited,,117.745,118.994,1.249
031 - FVM - 2 crows - Baited,,119.495,121.494,1.999
031 - FVM - 2 crows - Baited,,122.995,124.494,1.499
031 - FVM - 2 crows - Baited,,126.745,127.994,1.249
031 - FVM - 2 crows - Baited,,129.245,130.994,1.749
031 - FVM - 2 crows - Baited,,132.245,134.744,2.499
031 - FVM - 2 crows - Baited,,135.995,136.994,0.999
031 - FVM - 2 crows - Baited,,138.745,140.995,2.250
031 - FVM - 2 crows - Baited,,141.245,145.495,4.250
031 - FVM - 2 crows - Baited,,146.745,147.744,0.999
031 - FVM - 2 crows - Baited,,150.748,151.995,1.247
031 - FVM - 2 crows - Baited,,152.785,154.535,1.750
