Observation id,Comment,Start time,Stop time,Duration (s)
037-2 - Dairy Queen PLot - 7 crows - Baited,,98.997,99.733,0.736
037-2 - Dairy Queen PLot - 7 crows - Baited,,108.737,111.737,3.000
037-2 - Dairy Queen PLot - 7 crows - Baited,,112.241,113.005,0.764
037-2 - Dairy Queen PLot - 7 crows - Baited,,113.237,115.237,2.000
037-2 - Dairy Queen PLot - 7 crows - Baited,,116.498,117.238,0.740
037-2 - Dairy Queen PLot - 7 crows - Baited,,117.496,118.239,0.743
037-2 - Dairy Queen PLot - 7 crows - Baited,,118.492,119.234,0.742
037-2 - Dairy Queen PLot - 7 crows - Baited,,119.495,120.738,1.243
037-2 - Dairy Queen PLot - 7 crows - Baited,,121.236,122.496,1.260
037-2 - Dairy Queen PLot - 7 crows - Baited,,122.738,123.506,0.768
037-2 - Dairy Queen PLot - 7 crows - Baited,,126.758,127.256,0.498
037-2 - Dairy Queen PLot - 7 crows - Baited,,134.758,135.52,0.762
037-2 - Dairy Queen PLot - 7 crows - Baited,,194.279,196.777,2.498
037-2 - Dairy Queen PLot - 7 crows - Baited,,197.532,198.944,1.412
037-2 - Dairy Queen PLot - 7 crows - Baited,,245.533,246.629,1.096
037-2 - Dairy Queen PLot - 7 crows - Baited,,263.641,266.14,2.499
037-2 - Dairy Queen PLot - 7 crows - Baited,,266.894,271.195,4.301
037-2 - Dairy Queen PLot - 7 crows - Baited,,271.642,272.642,1.000
037-2 - Dairy Queen PLot - 7 crows - Baited,,273.642,275.891,2.249
037-2 - Dairy Queen PLot - 7 crows - Baited,,276.392,277.409,1.017
037-2 - Dairy Queen PLot - 7 crows - Baited,,292.412,294.2,1.788
037-2 - Dairy Queen PLot - 7 crows - Baited,,294.662,297.41,2.748
037-2 - Dairy Queen PLot - 7 crows - Baited,,297.911,300.411,2.500
037-2 - Dairy Queen PLot - 7 crows - Baited,,300.911,301.911,1.000
037-2 - Dairy Queen PLot - 7 crows - Baited,,302.41,303.178,0.768
037-2 - Dairy Queen PLot - 7 crows - Baited,,305.173,306.911,1.738
037-2 - Dairy Queen PLot - 7 crows - Baited,,308.915,310.912,1.997
037-2 - Dairy Queen PLot - 7 crows - Baited,,311.416,312.913,1.497
037-2 - Dairy Queen PLot - 7 crows - Baited,,315.175,316.916,1.741
037-2 - Dairy Queen PLot - 7 crows - Baited,,317.175,320.174,2.999
037-2 - Dairy Queen PLot - 7 crows - Baited,,323.416,323.957,0.541
037-2 - Dairy Queen PLot - 7 crows - Baited,,328.961,329.963,1.002
037-2 - Dairy Queen PLot - 7 crows - Baited,,332.723,333.465,0.742
037-2 - Dairy Queen PLot - 7 crows - Baited,,333.722,334.965,1.243
037-2 - Dairy Queen PLot - 7 crows - Baited,,335.467,336.728,1.261
037-2 - Dairy Queen PLot - 7 crows - Baited,,337.228,337.972,0.744
