Observation id,Comment,Start time,Stop time,Duration (s)
043-2 - Esso PLot - 25 crows - Baited,,3.387,6.387,3.000
043-2 - Esso PLot - 25 crows - Baited,,10.888,12.388,1.500
043-2 - Esso PLot - 25 crows - Baited,,13.898,16.897,2.999
043-2 - Esso PLot - 25 crows - Baited,,19.652,21.153,1.501
043-2 - Esso PLot - 25 crows - Baited,,23.404,25.653,2.249
043-2 - Esso PLot - 25 crows - Baited,,37.421,37.92,0.499
043-2 - Esso PLot - 25 crows - Baited,,38.422,38.922,0.500
043-2 - Esso PLot - 25 crows - Baited,,38.923,39.42,0.497
043-2 - Esso PLot - 25 crows - Baited,,40.171,40.671,0.500
043-2 - Esso PLot - 25 crows - Baited,,46.774,47.422,0.648
043-2 - Esso PLot - 25 crows - Baited,,48.171,48.172,0.001
043-2 - Esso PLot - 25 crows - Baited,,51.671,52.673,1.002
043-2 - Esso PLot - 25 crows - Baited,,56.17,56.171,0.001
043-2 - Esso PLot - 25 crows - Baited,,57.173,57.441,0.268
