Observation id,Comment,Start time,Stop time,Duration (s)
024 - FVM - 2 crows - No Bait,,38.903,41.902,2.999
024 - FVM - 2 crows - No Bait,,46.403,48.404,2.001
024 - FVM - 2 crows - No Bait,,49.151,50.4,1.249
024 - FVM - 2 crows - No Bait,,52.689,53.685,0.996
024 - FVM - 2 crows - No Bait,,66.941,68.192,1.251
024 - FVM - 2 crows - No Bait,,70.189,71.192,1.003
024 - FVM - 2 crows - No Bait,,81.194,81.442,0.248
024 - FVM - 2 crows - No Bait,,104.99,106.743,1.753
024 - FVM - 2 crows - No Bait,,106.744,107.994,1.250
024 - FVM - 2 crows - No Bait,,155.043,155.991,0.948
