Observation id,Comment,Start time,Stop time,Duration (s)
030 - FVM - 2 crows - Baited,,106.237,107.235,0.998
030 - FVM - 2 crows - Baited,,111.996,113.735,1.739
030 - FVM - 2 crows - Baited,,114.499,115.236,0.737
030 - FVM - 2 crows - Baited,,116.238,117.995,1.757
030 - FVM - 2 crows - Baited,,119.236,119.999,0.763
030 - FVM - 2 crows - Baited,,120.499,121.237,0.738
030 - FVM - 2 crows - Baited,,122.496,123.999,1.503
030 - FVM - 2 crows - Baited,,125.759,127.009,1.250
030 - FVM - 2 crows - Baited,,128.508,131.007,2.499
030 - FVM - 2 crows - Baited,,139.261,140.019,0.758
030 - FVM - 2 crows - Baited,,141.025,142.025,1.000
030 - FVM - 2 crows - Baited,,142.526,144.761,2.235
030 - FVM - 2 crows - Baited,,145.261,148.761,3.500
030 - FVM - 2 crows - Baited,,149.26,151.259,1.999
030 - FVM - 2 crows - Baited,,151.523,153.019,1.496
030 - FVM - 2 crows - Baited,,154.02,155.52,1.500
030 - FVM - 2 crows - Baited,,156.02,158.519,2.499
030 - FVM - 2 crows - Baited,,159.263,160.262,0.999
030 - FVM - 2 crows - Baited,,164.262,165.261,0.999
030 - FVM - 2 crows - Baited,,165.519,166.525,1.006
030 - FVM - 2 crows - Baited,,166.763,168.518,1.755
030 - FVM - 2 crows - Baited,,169.761,170.524,0.763
030 - FVM - 2 crows - Baited,,171.021,172.024,1.003
030 - FVM - 2 crows - Baited,,181.057,181.806,0.749
030 - FVM - 2 crows - Baited,,182.308,183.305,0.997
030 - FVM - 2 crows - Baited,,187.807,188.307,0.500
030 - FVM - 2 crows - Baited,,191.308,191.811,0.503
030 - FVM - 2 crows - Baited,,194.078,195.57,1.492
030 - FVM - 2 crows - Baited,,196.075,197.81,1.735
030 - FVM - 2 crows - Baited,,198.811,201.571,2.760
030 - FVM - 2 crows - Baited,,203.571,206.81,3.239
030 - FVM - 2 crows - Baited,,207.809,210.808,2.999
030 - FVM - 2 crows - Baited,,211.31,213.812,2.502
030 - FVM - 2 crows - Baited,,214.57,215.568,0.998
