Observation id,Comment,Start time,Stop time,Duration (s)
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,0.4,1.9,1.500
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,5.886,8.385,2.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,9.136,9.141,0.005
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,27.16,28.409,1.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,29.16,30.659,1.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,34.41,35.159,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,72.953,73.452,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,73.703,78.202,4.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,78.953,79.702,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,80.203,80.452,0.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,81.453,82.452,0.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,82.953,83.702,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,85.453,85.952,0.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,91.203,92.952,1.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,94.453,98.452,3.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,103.703,104.452,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,126.003,127.252,1.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,136.016,138.765,2.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,139.516,141.265,1.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,141.266,142.515,1.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,146.516,147.515,0.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,151.766,152.515,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,157.266,158.015,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,160.016,164.015,3.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,164.766,166.765,1.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,168.266,170.765,2.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,176.516,177.765,1.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,181.516,182.265,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,187.766,188.765,0.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,193.266,194.765,1.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,197.016,198.515,1.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,201.766,202.515,0.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,203.016,206.265,3.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,222.604,224.603,1.999
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,225.854,227.353,1.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,235.116,237.865,2.749
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,239.866,243.115,3.249
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,245.128,247.627,2.499
032  - Ontario St. Tim Hortons - 4 crows - No Bait,,248.381,252.38,3.999
