Observation id,Comment,Start time,Stop time,Duration (s)
034 - NF Subways PLot - 1 crow - Baited,,10.433,12.142,1.709
034 - NF Subways PLot - 1 crow - Baited,,18.908,20.907,1.999
034 - NF Subways PLot - 1 crow - Baited,,21.409,23.157,1.748
034 - NF Subways PLot - 1 crow - Baited,,33.427,36.428,3.001
034 - NF Subways PLot - 1 crow - Baited,,46.929,49.428,2.499
034 - NF Subways PLot - 1 crow - Baited,,52.17,52.928,0.758
034 - NF Subways PLot - 1 crow - Baited,,54.67,63.428,8.758
034 - NF Subways PLot - 1 crow - Baited,,64.43,66.429,1.999
034 - NF Subways PLot - 1 crow - Baited,,68.43,69.431,1.001
034 - NF Subways PLot - 1 crow - Baited,,70.172,71.169,0.997
034 - NF Subways PLot - 1 crow - Baited,,71.929,72.431,0.502
034 - NF Subways PLot - 1 crow - Baited,,87.976,88.476,0.500
034 - NF Subways PLot - 1 crow - Baited,,89.225,89.719,0.494
034 - NF Subways PLot - 1 crow - Baited,,113.232,113.73,0.498
034 - NF Subways PLot - 1 crow - Baited,,117.485,118.229,0.744
034 - NF Subways PLot - 1 crow - Baited,,127.239,130.76,3.521
