Observation id,Comment,Start time,Stop time,Duration (s)
041 - FVM - 7 crows - Baited,,2.401,3.948,1.547
041 - FVM - 7 crows - Baited,,6.639,8.395,1.756
041 - FVM - 7 crows - Baited,,12.642,13.641,0.999
041 - FVM - 7 crows - Baited,,15.396,15.895,0.499
041 - FVM - 7 crows - Baited,,17.141,17.896,0.755
041 - FVM - 7 crows - Baited,,19.143,21.139,1.996
041 - FVM - 7 crows - Baited,,23.642,24.396,0.754
041 - FVM - 7 crows - Baited,,27.901,29.14,1.239
041 - FVM - 7 crows - Baited,,31.147,31.401,0.254
041 - FVM - 7 crows - Baited,,32.141,33.898,1.757
041 - FVM - 7 crows - Baited,,35.403,36.4,0.997
041 - FVM - 7 crows - Baited,,42.141,42.641,0.500
041 - FVM - 7 crows - Baited,,43.677,44.18,0.503
041 - FVM - 7 crows - Baited,,46.439,47.438,0.999
041 - FVM - 7 crows - Baited,,49.683,49.938,0.255
041 - FVM - 7 crows - Baited,,54.182,54.679,0.497
041 - FVM - 7 crows - Baited,,66.179,67.18,1.001
041 - FVM - 7 crows - Baited,,74.437,74.68,0.243
041 - FVM - 7 crows - Baited,,81.938,82.442,0.504
041 - FVM - 7 crows - Baited,,90.436,92.181,1.745
041 - FVM - 7 crows - Baited,,93.439,95.182,1.743
041 - FVM - 7 crows - Baited,,102.682,103.183,0.501
041 - FVM - 7 crows - Baited,,108.435,108.936,0.501
041 - FVM - 7 crows - Baited,,110.182,110.435,0.253
041 - FVM - 7 crows - Baited,,111.68,112.178,0.498
041 - FVM - 7 crows - Baited,,114.937,115.681,0.744
041 - FVM - 7 crows - Baited,,118.434,119.681,1.247
041 - FVM - 7 crows - Baited,,122.437,128.935,6.498
041 - FVM - 7 crows - Baited,,132.939,133.438,0.499
041 - FVM - 7 crows - Baited,,134.686,135.434,0.748
041 - FVM - 7 crows - Baited,,139.435,141.679,2.244
041 - FVM - 7 crows - Baited,,142.934,143.935,1.001
041 - FVM - 7 crows - Baited,,144.936,145.436,0.500
041 - FVM - 7 crows - Baited,,148.682,149.18,0.498
041 - FVM - 7 crows - Baited,,151.682,152.18,0.498
041 - FVM - 7 crows - Baited,,156.44,156.681,0.241
041 - FVM - 7 crows - Baited,,158.935,159.181,0.246
041 - FVM - 7 crows - Baited,,160.682,161.182,0.500
041 - FVM - 7 crows - Baited,,166.47,168.604,2.134
041 - FVM - 7 crows - Baited,,169.609,187.862,18.253
041 - FVM - 7 crows - Baited,,192.366,193.105,0.739
041 - FVM - 7 crows - Baited,,194.363,195.364,1.001
041 - FVM - 7 crows - Baited,,196.364,198.135,1.771
041 - FVM - 7 crows - Baited,,200.136,209.639,9.503
041 - FVM - 7 crows - Baited,,215.152,215.405,0.253
041 - FVM - 7 crows - Baited,,216.91,218.153,1.243
041 - FVM - 7 crows - Baited,,219.409,219.905,0.496
041 - FVM - 7 crows - Baited,,222.151,222.654,0.503
041 - FVM - 7 crows - Baited,,224.406,224.649,0.243
041 - FVM - 7 crows - Baited,,225.908,227.408,1.500
041 - FVM - 7 crows - Baited,,229.169,231.169,2.000
041 - FVM - 7 crows - Baited,,231.671,232.422,0.751
041 - FVM - 7 crows - Baited,,236.424,236.669,0.245
041 - FVM - 7 crows - Baited,,241.927,242.421,0.494
