Observation id,Comment,Start time,Stop time,Duration (s)
024 - FVM - 2 crows - No Bait,,36.905,38.902,1.997
024 - FVM - 2 crows - No Bait,,42.651,46.402,3.751
024 - FVM - 2 crows - No Bait,,48.405,49.15,0.745
024 - FVM - 2 crows - No Bait,,50.401,52.688,2.287
024 - FVM - 2 crows - No Bait,,57.193,58.443,1.250
024 - FVM - 2 crows - No Bait,,60.443,61.191,0.748
024 - FVM - 2 crows - No Bait,,61.945,64.692,2.747
024 - FVM - 2 crows - No Bait,,65.693,66.94,1.247
024 - FVM - 2 crows - No Bait,,68.193,70.188,1.995
024 - FVM - 2 crows - No Bait,,81.443,83.692,2.249
