Observation id,Comment,Start time,Stop time,Duration (s)
020 - FVM - 2 crows - No Bait,,0.0,2.385,2.385
020 - FVM - 2 crows - No Bait,,7.905,10.412,2.507
020 - FVM - 2 crows - No Bait,,20.9,24.407,3.507
020 - FVM - 2 crows - No Bait,,26.16,27.91,1.750
020 - FVM - 2 crows - No Bait,,27.911,38.41,10.499
020 - FVM - 2 crows - No Bait,,38.909,41.926,3.017
020 - FVM - 2 crows - No Bait,,42.676,44.422,1.746
020 - FVM - 2 crows - No Bait,,45.934,48.423,2.489
020 - FVM - 2 crows - No Bait,,48.424,51.516,3.092
020 - FVM - 2 crows - No Bait,,52.425,56.69,4.265
020 - FVM - 2 crows - No Bait,,58.19,60.445,2.255
020 - FVM - 2 crows - No Bait,,62.446,63.449,1.003
020 - FVM - 2 crows - No Bait,,63.95,64.698,0.748
020 - FVM - 2 crows - No Bait,,72.207,72.708,0.501
