Observation id,Comment,Start time,Stop time,Duration (s)
038-2 - Dairy Queen PLot - 7 crows - Baited,,139.76,142.508,2.748
038-2 - Dairy Queen PLot - 7 crows - Baited,,144.259,148.758,4.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,149.508,153.507,3.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,153.758,155.007,1.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,156.51,157.508,0.998
038-2 - Dairy Queen PLot - 7 crows - Baited,,159.01,160.259,1.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,163.509,166.007,2.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,166.258,167.008,0.750
038-2 - Dairy Queen PLot - 7 crows - Baited,,171.01,172.507,1.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,173.51,176.758,3.248
038-2 - Dairy Queen PLot - 7 crows - Baited,,192.01,195.259,3.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,195.509,197.257,1.748
038-2 - Dairy Queen PLot - 7 crows - Baited,,201.831,203.581,1.750
038-2 - Dairy Queen PLot - 7 crows - Baited,,203.831,204.58,0.749
038-2 - Dairy Queen PLot - 7 crows - Baited,,205.331,206.332,1.001
038-2 - Dairy Queen PLot - 7 crows - Baited,,206.583,207.831,1.248
038-2 - Dairy Queen PLot - 7 crows - Baited,,208.832,209.081,0.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,215.332,216.581,1.249
038-2 - Dairy Queen PLot - 7 crows - Baited,,218.836,224.852,6.016
038-2 - Dairy Queen PLot - 7 crows - Baited,,228.837,229.338,0.501
038-2 - Dairy Queen PLot - 7 crows - Baited,,230.837,232.833,1.996
038-2 - Dairy Queen PLot - 7 crows - Baited,,265.594,267.093,1.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,267.334,268.596,1.262
038-2 - Dairy Queen PLot - 7 crows - Baited,,268.836,269.595,0.759
038-2 - Dairy Queen PLot - 7 crows - Baited,,270.336,272.335,1.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,272.837,273.84,1.003
038-2 - Dairy Queen PLot - 7 crows - Baited,,274.334,275.092,0.758
038-2 - Dairy Queen PLot - 7 crows - Baited,,275.594,277.336,1.742
038-2 - Dairy Queen PLot - 7 crows - Baited,,279.838,283.836,3.998
038-2 - Dairy Queen PLot - 7 crows - Baited,,286.099,286.837,0.738
038-2 - Dairy Queen PLot - 7 crows - Baited,,287.837,288.835,0.998
038-2 - Dairy Queen PLot - 7 crows - Baited,,289.836,291.594,1.758
038-2 - Dairy Queen PLot - 7 crows - Baited,,293.094,295.59,2.496
038-2 - Dairy Queen PLot - 7 crows - Baited,,295.839,298.337,2.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,299.093,300.095,1.002
038-2 - Dairy Queen PLot - 7 crows - Baited,,300.338,301.339,1.001
038-2 - Dairy Queen PLot - 7 crows - Baited,,301.614,302.591,0.977
038-2 - Dairy Queen PLot - 7 crows - Baited,,303.094,303.834,0.740
038-2 - Dairy Queen PLot - 7 crows - Baited,,304.333,305.094,0.761
038-2 - Dairy Queen PLot - 7 crows - Baited,,305.335,306.835,1.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,307.091,307.334,0.243
038-2 - Dairy Queen PLot - 7 crows - Baited,,308.095,308.592,0.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,330.838,332.335,1.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,332.591,334.091,1.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,334.337,336.094,1.757
038-2 - Dairy Queen PLot - 7 crows - Baited,,337.102,339.335,2.233
038-2 - Dairy Queen PLot - 7 crows - Baited,,339.594,340.59,0.996
038-2 - Dairy Queen PLot - 7 crows - Baited,,341.094,346.087,4.993
038-2 - Dairy Queen PLot - 7 crows - Baited,,346.597,348.334,1.737
038-2 - Dairy Queen PLot - 7 crows - Baited,,348.834,349.842,1.008
038-2 - Dairy Queen PLot - 7 crows - Baited,,350.339,352.09,1.751
038-2 - Dairy Queen PLot - 7 crows - Baited,,353.092,354.59,1.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,356.105,360.241,4.136
038-2 - Dairy Queen PLot - 7 crows - Baited,,361.755,362.755,1.000
038-2 - Dairy Queen PLot - 7 crows - Baited,,363.753,367.256,3.503
038-2 - Dairy Queen PLot - 7 crows - Baited,,367.494,368.253,0.759
038-2 - Dairy Queen PLot - 7 crows - Baited,,373.994,378.763,4.769
038-2 - Dairy Queen PLot - 7 crows - Baited,,379.252,380.993,1.741
038-2 - Dairy Queen PLot - 7 crows - Baited,,381.753,382.992,1.239
038-2 - Dairy Queen PLot - 7 crows - Baited,,383.994,384.773,0.779
038-2 - Dairy Queen PLot - 7 crows - Baited,,385.251,386.753,1.502
038-2 - Dairy Queen PLot - 7 crows - Baited,,387.992,391.751,3.759
038-2 - Dairy Queen PLot - 7 crows - Baited,,392.493,392.992,0.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,398.751,399.751,1.000
038-2 - Dairy Queen PLot - 7 crows - Baited,,400.755,402.749,1.994
038-2 - Dairy Queen PLot - 7 crows - Baited,,403.286,405.038,1.752
038-2 - Dairy Queen PLot - 7 crows - Baited,,405.541,407.038,1.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,409.04,414.039,4.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,414.301,415.547,1.246
038-2 - Dairy Queen PLot - 7 crows - Baited,,416.05,421.047,4.997
038-2 - Dairy Queen PLot - 7 crows - Baited,,422.052,423.551,1.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,424.052,426.813,2.761
038-2 - Dairy Queen PLot - 7 crows - Baited,,427.811,431.312,3.501
038-2 - Dairy Queen PLot - 7 crows - Baited,,432.054,433.55,1.496
038-2 - Dairy Queen PLot - 7 crows - Baited,,433.814,436.052,2.238
038-2 - Dairy Queen PLot - 7 crows - Baited,,437.814,441.052,3.238
038-2 - Dairy Queen PLot - 7 crows - Baited,,441.553,443.81,2.257
038-2 - Dairy Queen PLot - 7 crows - Baited,,444.317,446.556,2.239
038-2 - Dairy Queen PLot - 7 crows - Baited,,447.311,449.31,1.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,449.552,452.811,3.259
038-2 - Dairy Queen PLot - 7 crows - Baited,,454.052,454.811,0.759
038-2 - Dairy Queen PLot - 7 crows - Baited,,456.055,457.052,0.997
038-2 - Dairy Queen PLot - 7 crows - Baited,,458.315,459.05,0.735
038-2 - Dairy Queen PLot - 7 crows - Baited,,463.312,464.81,1.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,465.312,466.553,1.241
038-2 - Dairy Queen PLot - 7 crows - Baited,,467.053,469.553,2.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,469.807,470.814,1.007
038-2 - Dairy Queen PLot - 7 crows - Baited,,472.357,472.854,0.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,474.615,476.109,1.494
038-2 - Dairy Queen PLot - 7 crows - Baited,,483.878,484.618,0.740
038-2 - Dairy Queen PLot - 7 crows - Baited,,487.62,489.378,1.758
038-2 - Dairy Queen PLot - 7 crows - Baited,,491.62,492.62,1.000
038-2 - Dairy Queen PLot - 7 crows - Baited,,493.118,494.382,1.264
038-2 - Dairy Queen PLot - 7 crows - Baited,,494.62,495.878,1.258
038-2 - Dairy Queen PLot - 7 crows - Baited,,496.123,496.876,0.753
038-2 - Dairy Queen PLot - 7 crows - Baited,,500.879,502.882,2.003
038-2 - Dairy Queen PLot - 7 crows - Baited,,505.636,506.896,1.260
038-2 - Dairy Queen PLot - 7 crows - Baited,,507.138,509.398,2.260
038-2 - Dairy Queen PLot - 7 crows - Baited,,509.9,511.638,1.738
038-2 - Dairy Queen PLot - 7 crows - Baited,,511.894,512.393,0.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,545.145,545.641,0.496
038-2 - Dairy Queen PLot - 7 crows - Baited,,546.642,547.149,0.507
038-2 - Dairy Queen PLot - 7 crows - Baited,,548.899,551.9,3.001
038-2 - Dairy Queen PLot - 7 crows - Baited,,559.139,560.899,1.760
038-2 - Dairy Queen PLot - 7 crows - Baited,,561.403,562.638,1.235
038-2 - Dairy Queen PLot - 7 crows - Baited,,562.902,564.141,1.239
038-2 - Dairy Queen PLot - 7 crows - Baited,,655.639,658.142,2.503
038-2 - Dairy Queen PLot - 7 crows - Baited,,694.092,695.828,1.736
