Observation id,Comment,Start time,Stop time,Duration (s)
043-2 - Esso PLot - 25 crows - Baited,,24.406,28.16,3.754
043-2 - Esso PLot - 25 crows - Baited,,30.661,31.409,0.748
043-2 - Esso PLot - 25 crows - Baited,,31.66,32.415,0.755
043-2 - Esso PLot - 25 crows - Baited,,33.666,34.416,0.750
043-2 - Esso PLot - 25 crows - Baited,,35.667,37.166,1.499
043-2 - Esso PLot - 25 crows - Baited,,37.167,40.666,3.499
043-2 - Esso PLot - 25 crows - Baited,,40.918,41.668,0.750
043-2 - Esso PLot - 25 crows - Baited,,43.168,43.666,0.498
