Observation id,Comment,Start time,Stop time,Duration (s)
039 - Glen Morris Dr - 2 crows - Baited,,0.901,1.899,0.998
039 - Glen Morris Dr - 2 crows - Baited,,13.646,15.645,1.999
039 - Glen Morris Dr - 2 crows - Baited,,48.923,51.946,3.023
039 - Glen Morris Dr - 2 crows - Baited,,53.447,61.945,8.498
039 - Glen Morris Dr - 2 crows - Baited,,113.989,114.486,0.497
039 - Glen Morris Dr - 2 crows - Baited,,149.781,150.782,1.001
039 - Glen Morris Dr - 2 crows - Baited,,151.284,154.285,3.001
039 - Glen Morris Dr - 2 crows - Baited,,160.794,162.056,1.262
039 - Glen Morris Dr - 2 crows - Baited,,267.151,267.401,0.250
