Observation id,Comment,Start time,Stop time,Duration (s)
038-2 - Dairy Queen PLot - 7 crows - Baited,,117.247,118.996,1.749
038-2 - Dairy Queen PLot - 7 crows - Baited,,123.006,124.005,0.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,125.256,129.256,4.000
038-2 - Dairy Queen PLot - 7 crows - Baited,,130.507,133.505,2.998
038-2 - Dairy Queen PLot - 7 crows - Baited,,134.257,137.757,3.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,139.262,140.261,0.999
038-2 - Dairy Queen PLot - 7 crows - Baited,,141.257,143.759,2.502
038-2 - Dairy Queen PLot - 7 crows - Baited,,149.529,154.279,4.750
038-2 - Dairy Queen PLot - 7 crows - Baited,,156.085,156.28,0.195
038-2 - Dairy Queen PLot - 7 crows - Baited,,158.042,159.541,1.499
038-2 - Dairy Queen PLot - 7 crows - Baited,,161.082,161.54,0.458
038-2 - Dairy Queen PLot - 7 crows - Baited,,164.553,165.058,0.505
038-2 - Dairy Queen PLot - 7 crows - Baited,,166.057,166.289,0.232
038-2 - Dairy Queen PLot - 7 crows - Baited,,167.3,167.795,0.495
038-2 - Dairy Queen PLot - 7 crows - Baited,,169.054,169.552,0.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,171.553,171.793,0.240
