Observation id,Comment,Start time,Stop time,Duration (s)
040 - Dairy Queen PLot - 3 crows - Baited,,0.653,3.657,3.004
040 - Dairy Queen PLot - 3 crows - Baited,,4.41,6.155,1.745
040 - Dairy Queen PLot - 3 crows - Baited,,6.912,7.408,0.496
040 - Dairy Queen PLot - 3 crows - Baited,,7.663,9.407,1.744
040 - Dairy Queen PLot - 3 crows - Baited,,10.157,14.909,4.752
040 - Dairy Queen PLot - 3 crows - Baited,,20.403,22.915,2.512
040 - Dairy Queen PLot - 3 crows - Baited,,28.66,29.416,0.756
040 - Dairy Queen PLot - 3 crows - Baited,,29.919,31.415,1.496
040 - Dairy Queen PLot - 3 crows - Baited,,32.16,35.417,3.257
040 - Dairy Queen PLot - 3 crows - Baited,,35.916,37.658,1.742
040 - Dairy Queen PLot - 3 crows - Baited,,37.916,38.155,0.239
040 - Dairy Queen PLot - 3 crows - Baited,,38.657,39.159,0.502
040 - Dairy Queen PLot - 3 crows - Baited,,44.155,45.155,1.000
040 - Dairy Queen PLot - 3 crows - Baited,,46.924,49.412,2.488
