Observation id,Comment,Start time,Stop time,Duration (s)
040 - Dairy Queen PLot - 3 crows - Baited,,50.418,52.918,2.500
040 - Dairy Queen PLot - 3 crows - Baited,,56.157,58.919,2.762
040 - Dairy Queen PLot - 3 crows - Baited,,59.417,60.414,0.997
040 - Dairy Queen PLot - 3 crows - Baited,,61.42,62.416,0.996
040 - Dairy Queen PLot - 3 crows - Baited,,63.16,65.155,1.995
040 - Dairy Queen PLot - 3 crows - Baited,,66.656,67.152,0.496
040 - Dairy Queen PLot - 3 crows - Baited,,69.966,70.963,0.997
040 - Dairy Queen PLot - 3 crows - Baited,,72.202,73.964,1.762
040 - Dairy Queen PLot - 3 crows - Baited,,74.206,75.702,1.496
040 - Dairy Queen PLot - 3 crows - Baited,,82.963,83.965,1.002
