Observation id,Comment,Start time,Stop time,Duration (s)
037-2 - Dairy Queen PLot - 7 crows - Baited,,91.961,92.46,0.499
037-2 - Dairy Queen PLot - 7 crows - Baited,,94.705,95.46,0.755
037-2 - Dairy Queen PLot - 7 crows - Baited,,104.462,106.965,2.503
037-2 - Dairy Queen PLot - 7 crows - Baited,,107.705,109.204,1.499
037-2 - Dairy Queen PLot - 7 crows - Baited,,263.398,263.651,0.253
037-2 - Dairy Queen PLot - 7 crows - Baited,,264.395,265.391,0.996
037-2 - Dairy Queen PLot - 7 crows - Baited,,266.652,268.15,1.498
037-2 - Dairy Queen PLot - 7 crows - Baited,,269.395,270.651,1.256
037-2 - Dairy Queen PLot - 7 crows - Baited,,270.897,271.138,0.241
037-2 - Dairy Queen PLot - 7 crows - Baited,,273.892,277.158,3.266
037-2 - Dairy Queen PLot - 7 crows - Baited,,284.647,285.891,1.244
