Observation id,Comment,Start time,Stop time,Duration (s)
028 - FVM - 2 crows - Baited,,45.928,48.178,2.250
028 - FVM - 2 crows - Baited,,57.929,64.691,6.762
028 - FVM - 2 crows - Baited,,66.956,68.96,2.004
028 - FVM - 2 crows - Baited,,69.705,70.706,1.001
028 - FVM - 2 crows - Baited,,73.487,74.701,1.214
028 - FVM - 2 crows - Baited,,75.707,87.712,12.005
028 - FVM - 2 crows - Baited,,88.987,99.981,10.994
028 - FVM - 2 crows - Baited,,103.739,104.987,1.248
028 - FVM - 2 crows - Baited,,110.015,110.513,0.498
028 - FVM - 2 crows - Baited,,113.016,114.01,0.994
028 - FVM - 2 crows - Baited,,114.517,115.017,0.500
