Observation id,Comment,Start time,Stop time,Duration (s)
037-2 - Dairy Queen PLot - 7 crows - Baited,,198.945,201.265,2.320
037-2 - Dairy Queen PLot - 7 crows - Baited,,202.267,203.265,0.998
037-2 - Dairy Queen PLot - 7 crows - Baited,,208.526,209.025,0.499
037-2 - Dairy Queen PLot - 7 crows - Baited,,213.524,214.765,1.241
037-2 - Dairy Queen PLot - 7 crows - Baited,,218.268,220.271,2.003
037-2 - Dairy Queen PLot - 7 crows - Baited,,230.523,231.267,0.744
037-2 - Dairy Queen PLot - 7 crows - Baited,,231.767,234.765,2.998
