Observation id,Comment,Start time,Stop time,Duration (s)
029 - FVM - 2 crows - Baited,,355.987,356.735,0.748
029 - FVM - 2 crows - Baited,,360.735,361.49,0.755
029 - FVM - 2 crows - Baited,,362.99,364.255,1.265
029 - FVM - 2 crows - Baited,,365.753,368.251,2.498
029 - FVM - 2 crows - Baited,,375.989,377.492,1.503
029 - FVM - 2 crows - Baited,,384.253,389.494,5.241
029 - FVM - 2 crows - Baited,,392.253,399.247,6.994
029 - FVM - 2 crows - Baited,,401.746,407.991,6.245
029 - FVM - 2 crows - Baited,,410.49,411.488,0.998
029 - FVM - 2 crows - Baited,,418.544,419.802,1.258
029 - FVM - 2 crows - Baited,,426.821,430.56,3.739
029 - FVM - 2 crows - Baited,,433.821,434.558,0.737
029 - FVM - 2 crows - Baited,,435.321,436.316,0.995
029 - FVM - 2 crows - Baited,,440.555,441.819,1.264
029 - FVM - 2 crows - Baited,,445.583,447.586,2.003
029 - FVM - 2 crows - Baited,,449.08,450.843,1.763
029 - FVM - 2 crows - Baited,,469.852,470.589,0.737
029 - FVM - 2 crows - Baited,,471.355,471.854,0.499
029 - FVM - 2 crows - Baited,,475.873,476.111,0.238
029 - FVM - 2 crows - Baited,,506.4,506.895,0.495
029 - FVM - 2 crows - Baited,,510.136,510.634,0.498
029 - FVM - 2 crows - Baited,,519.406,520.65,1.244
029 - FVM - 2 crows - Baited,,520.651,521.906,1.255
